iter	Passed	Remaining
982	15941	275
983	15952	259
984	15963	243
985	15974	226
986	15986	210
987	15997	194
988	16008	178
989	16020	161
990	16031	145
991	16042	129
992	16053	113
993	16065	96
994	16077	80
995	16088	64
996	16098	48
997	16110	32
998	16121	16
999	16132	0
